code,name,type,sido,sigungu,address,phone,lng,lat
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQwMyQzNjE4MzIjNjEjJDEjJDQjJDgz,(사)인구보건복지협회전북지회가족보건의원,의원,전북,전주덕진구,"전북특별자치도 전주시 덕진구 백제대로 722, (인후동2가)",063-240-2345,127.1481155,35.8448419
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzQxIyQxIyQ3IyQ4MiQyNjEyMjIjNjEjJDEjJDAjJDgz,(사)인구보건복지협회전북지회가족치과의원,치과의원,전북,전주덕진구,"전북특별자치도 전주시 덕진구 백제대로 722, 3층 (인후동2가)",063-240-2333,127.1481155,35.8448419
JDQ4MTYyMiM2MSMkMSMkNiMkNzIkMzgxMzUxIzUxIyQxIyQxIyQwMyQyNjE0ODEjODEjJDEjJDYjJDgz,(사)한국건강관리협회 건강치과의원,치과의원,전북,전주덕진구,"전북특별자치도 전주시 덕진구 사평로 40, 5층 (덕진동1가, 건강검진센터)",063-259-8913,127.1216255,35.8411572
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,(사)한국건강관리협회 중앙검사본부 중앙검사의원,의원,서울,강서구,"서울특별시 강서구 화곡로 372, ND타워 지4,지1, 1~4층 (등촌동)",02-3662-1107,126.8533871,37.5565711
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,(사)한국건강관리협회건강증진의원,의원,경기,수원장안구,"경기도 수원시 장안구 경수대로 857, (조원동)",031-250-5800,127.0135657,37.297116
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzMxIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,(사)한국건강관리협회건강증진의원,의원,전북,전주덕진구,"전북특별자치도 전주시 덕진구 사평로 40, (덕진동1가)",063-259-8900,127.1216255,35.8411572
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ4OSQyNjEwMDIjNjEjJDEjJDAjJDgz,(사)한국건강관리협회건강증진의원,의원,경남,창원마산회원구,"경상남도 창원시 마산회원구 삼호로 107, (양덕동)",055-259-0100,128.5798566,35.2243835
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzIxIyQxIyQ1IyQ4OSQyNjE0ODEjNjEjJDEjJDAjJDgz,(사)한국건강관리협회건강증진치과의원,치과의원,경기,수원장안구,"경기도 수원시 장안구 경수대로 857, 2층 (조원동)",031-250-5800,127.0135657,37.297116
JDQ4MTYyMiM4MSMkMSMkNCMkNzIkMzgxOTYxIzMxIyQxIyQzIyQ2MiQyNjEwMDIjNjEjJDEjJDQjJDgz,(사)한국건강관리협회건강증진치과의원,치과의원,경남,창원마산회원구,"경상남도 창원시 마산회원구 삼호로 107, (양덕동)",055-259-0100,128.5798566,35.2243835
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ4OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,(사)한국뇌전증협회로빈슨기념의원,의원,서울,중구,"서울특별시 중구 만리재로 177, 지하1층 11호,12호호 (만리동2가)",02-394-2325,126.9654931,37.5547039
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ2MiQzNjEwMDIjNjEjJDEjJDQjJDgz,(사)한국한센복지협회부산지부 부설복지의원,의원,부산,부산사하구,"부산광역시 사하구 다대로 263, 5층 501호 (장림동)",051-262-7511,128.9777379,35.0788382
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ5MiQzNjEwMDIjNzEjJDEjJDgjJDgz,(사)한국한센복지협회서울특별시지부부설의원,의원,서울,동작구,"서울특별시 동작구 상도로 170, 2층 (상도동)",02-812-1894,126.938053,37.5040794
JDQ4MTYyMiM4MSMkMiMkOCMkMDAkMzgxMzUxIzExIyQxIyQ3IyQ3MiQyNjEyMjIjNjEjJDEjJDAjJDgz,(사)한국한센복지협회제주특별자치도지부부설복지피부과의원,의원,제주,제주시,"제주특별자치도 제주시 신대로 128, (연동)",064-747-2559,126.4960596,33.4858518
JDQ4MTYyMiM3MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ5IyQ2MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,(사단법인) 한국건강관리협회건강증진치과의원,치과의원,광주,광주서구,"광주광역시 서구 대남대로 432, 3층 (농성동)",062-363-4040,126.8885102,35.1489274
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz,(사단법인)한국건강관리협회건강증진의원,의원,광주,광주서구,"광주광역시 서구 대남대로 432, 한국건강관리협회 지하2~지상7층 (농성동)",062-363-4040,126.8885102,35.1489274
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ2MiQyNjE0ODEjNjEjJDEjJDgjJDgz,(사회복지법인)한국혈우재단광주의원,의원,광주,광주서구,"광주광역시 서구 죽봉대로 66, 4층 (농성동)",062-351-6100,126.8836528,35.1591076
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ5MiQzNjE4MzIjNjEjJDEjJDAjJDgz,(스카이메디)연세건강증진내과의원,의원,서울,송파구,"서울특별시 송파구 송파대로 371, 2층,3층,4층 (석촌동)",02-418-9999,127.1107656,37.5007984
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5MiQzNjE4MzIjNDEjJDEjJDgjJDgz,(의) 내경의료재단 울산제일병원,병원,울산,울산남구,"울산광역시 남구 남산로354번길 26, (신정동)",052-220-3300,129.307013,35.548283
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ5OSQyNjEyMjIjNTEjJDEjJDIjJDgz,(의) 열린의료재단 강동열린의원,의원,서울,강동구,"서울특별시 강동구 천호대로 1092, 1층 112호,113호 (성내동, SK허브진)",02-485-7575,127.1326141,37.5352302
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ3OSQzNjEyMjIjNTEjJDEjJDIjJDgz,(의) 열린의료재단 대구열린의원,의원,대구,대구중구,"대구광역시 중구 중앙대로 359, 반월당메티칼오피스타워 5,6층 (남산동)",053-565-5501,128.5927741,35.8650479
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4MiQzNjE0ODEjODEjJDEjJDIjJDgz,(의) 열린의료재단 동대문열린의원,의원,서울,종로구,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",02-924-0875,127.0148389,37.573106
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNzEjJDEjJDgjJDgz,(의) 열린의료재단 상봉열린의원,의원,서울,중랑구,"서울특별시 중랑구 면목로 492, 주연빌딩 7,8 일부층 (상봉동)",02-435-0875,127.0859888,37.5959148
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz,(의) 열린의료재단 서면열린의원,의원,부산,부산진구,"부산광역시 부산진구 중앙대로 749, 5층 (부전동)",051-805-5230,129.060166,35.159633
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,(의) 열린의료재단 서초열린의원,의원,서울,서초구,"서울특별시 서초구 서초대로 320, 하림인터내셔날빌딩 3층 (서초동)",02-522-0872,127.0165951,37.4942268
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNTEjJDEjJDYjJDgz,(의) 열린의료재단 성남열린의원,의원,경기,성남수정구,"경기도 성남시 수정구 수정로 185, 6층 (태평동)",031-747-0875,127.1404742,37.4437912
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQxMyQzNjEyMjIjNjEjJDEjJDQjJDgz,(의) 열린의료재단 안산열린의원,의원,경기,안산상록구,"경기도 안산시 상록구 용신로 388, (본오동, 유니온프라자 501~505호)",031-415-0072,126.865096,37.3013964
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ4OSQzNjE0ODEjNTEjJDEjJDYjJDgz,(의) 열린의료재단 연산열린의원,의원,부산,부산연제구,"부산광역시 연제구 중앙대로 1091, 제세빌딩 3,7층 (연산동)",051-714-0835,129.0806502,35.1854186
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQxMyQzNjE0ODEjNTEjJDEjJDIjJDgz,(의) 열린의료재단 연신내열린의원,의원,서울,은평구,"서울특별시 은평구 통일로 861, 범일빌딩 6층 (갈현동)",02-383-7313,126.9202336,37.619775
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,(의) 열린의료재단 영등포열린의원,의원,서울,영등포구,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",02-2676-0832,126.90606,37.5165276
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,(의) 열린의료재단 은평열린의원,의원,서울,은평구,"서울특별시 은평구 서오릉로 145, 상원빌딩 4층 (구산동)",02-354-7168,126.9164939,37.6112912
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNTEjJDEjJDYjJDgz,(의) 열린의료재단 이천열린의원,의원,경기,이천시,"경기도 이천시 이섭대천로 1440-8, 신세기타운 201,206호 (증포동)",031-631-3001,127.4578251,37.2955614
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ5MiQzNjEwMDIjNzEjJDEjJDgjJDgz,(의) 열린의료재단 정다운의원,의원,전남,순천시,"전라남도 순천시 봉화3길 14, 4~5층 (조례동)",061-725-7565,127.5199811,34.9632557
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQxMyQyNjE0ODEjNTEjJDEjJDIjJDgz,(의) 열린의료재단 참사랑의원,의원,경기,수원팔달구,"경기도 수원시 팔달구 덕영대로 693, 풍성프라자 7층 (화서동)",031-244-0875,126.9901981,37.2849205
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ4OSQyNjEyMjIjNjEjJDEjJDQjJDgz,(의) 열린의료재단 혜화열린의원,의원,서울,성북구,"서울특별시 성북구 동소문로 125, 5~6층 (동선동4가)",929-2375,127.0182308,37.5941649
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,(의)가산의료재단 광동병원,병원,서울,강남구,"서울특별시 강남구 봉은사로 612, (삼성동)",2222-4888,127.0621662,37.5142863
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQxIyQ5IyQ4MiQzNjEyMjIjNDEjJDEjJDQjJDgz,(의)경기의료재단삼성한의원,한의원,경기,수원팔달구,"경기도 수원시 팔달구 중부대로223번길 61, (우만동,2층, 4층)",031-216-7582,127.040991,37.2785626
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQyIyQ1IyQwMCQ0NjEwMDIjNDEjJDEjJDgjJDgz,(의)경빈의료재단 김해센텀병원,병원,경남,김해시,"경상남도 김해시 구지로 56, 김해센텀병원 지하2~5층 6층 일부호 (내동)",055-330-9100,128.8692937,35.2393008
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNjEjJDEjJDgjJDgz,(의)고담의료재단마더스병원,정신병원,울산,울산남구,"울산광역시 남구 화합로 107, (달동)",052-270-7000,129.3404999,35.5343999
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,(의)광혜원한방병원,한방병원,인천,인천미추홀구,"인천광역시 미추홀구 염창로 63, 2~3,4층일부층 (주안동)",032-874-7500,126.6810146,37.4658616
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,(의)나사렛의료재단 나사렛국제병원,종합병원,인천,인천연수구,"인천광역시 연수구 먼우금로 98,  (동춘동)",032-899-9999,126.6704928,37.407958
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQzNjE4MzIjNDEjJDEjJDQjJDgz,(의)동남의료재단 동남병원,정신병원,경남,김해시,"경상남도 김해시 가야로51번길 42, (삼계동)",055-331-0454,128.8692375,35.2728583
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz,(의)미래의료재단리드림의원,의원,서울,강남구,"서울특별시 강남구 테헤란로 513, (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",02-540-0001,127.0588976,37.5079982
JDQ4MTg4MSM1MSMkMSMkMCMkNzIkNDgxOTYxIzQxIyQxIyQ3IyQ3MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,(의)미래의료재단미래치과의원,치과의원,서울,강남구,"서울특별시 강남구 테헤란로 513, (삼성동, 지하1층일부)",02-540-0001,127.0588976,37.5079982
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjE4MzIjNjEjJDEjJDAjJDgz,(의)밀성학원의료재단 성모아하브요양병원,요양병원,경남,김해시,"경상남도 김해시 김해대로 2479-1, (삼정동)",055-320-2080,128.8980324,35.2281381
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzIxIyQxIyQxIyQ4MiQzNjEwMDIjNjEjJDEjJDAjJDgz,(의)삼성의료재단 강북삼성화성치과의원,치과의원,경기,화성병점구,"경기도 화성시 병점구 삼성전자로 1, (반월동, 삼성전자내복지동)",031-208-5996,127.0633657,37.2234547
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQwMyQyNjEyMjIjNDEjJDEjJDgjJDgz,(의)삼세의료재단 몸사랑내과의원,의원,부산,부산영도구,"부산광역시 영도구 절영로 30, 삼세메디컬센터 4,5(일부),6 층 (대교동1가)",051-418-7777,129.0392387,35.0919114
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQ1IyQxMyQzNjEyMjIjNjEjJDEjJDAjJDgz,(의)삼세의료재단 삼세한의원,한의원,부산,부산영도구,"부산광역시 영도구 절영로 30, 삼세메디컬센터 5층일부,7~11층 (대교동1가)",051-418-7777,129.0392387,35.0919114
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,(의)서봉의료재단 보강병원,병원,대구,대구달서구,"대구광역시 달서구 월배로 102, (진천동)",053-641-9200,128.5256832,35.8137187
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,(의)서일의료재단기장병원,병원,부산,부산기장군,"부산광역시 기장군 기장읍 대청로72번길 6-6, 6",051-723-0171,129.2169211,35.2357991
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz,(의)성광의료재단 차여성의원,의원,서울,중구,"서울특별시 중구 한강대로 416, 서울스퀘어 2층 (남대문로5가)",02-2002-0300,126.9737678,37.5555057
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,(의)성광의료재단 차움의원,의원,서울,강남구,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",02-3015-5000,127.0441055,37.5233218
JDQ4MTg4MSM1MSMkMSMkNCMkMTMkNDgxMzUxIzIxIyQxIyQ1IyQ4OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,(의)성광의료재단 차움한의원,한의원,서울,강남구,"서울특별시 강남구 도산대로 442, (청담동, 2층일부)",545-4134,127.0441055,37.5233218
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ4MiQyNjEwMDIjNTEjJDEjJDYjJDgz,(의)성광의료재단차움건진의원,의원,서울,강남구,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",02-1800-7750,127.0582386,37.5077819
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNjEjJDEjJDAjJDgz,(의)성덕의료재단 간절곶자연병원,병원,울산,울산울주군,"울산광역시 울주군 서생면 용리길 165-11, (서생면)",052-246-0002,129.3226471,35.3667274
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,(의)성세의료재단 뉴성민병원,종합병원,인천,인천서구,"인천광역시 서구 신석로 70, (석남동)",032-726-1000,126.6698519,37.5097753
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ5MiQyNjE0ODEjNTEjJDEjJDIjJDgz,(의)소명의료재단한빛사랑의원,의원,부산,부산영도구,"부산광역시 영도구 태종로 135, (봉래동3가)",051-416-4442,129.0440698,35.0920732
JDQ4MTAxMiM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjE4MzIjNjEjJDEjJDQjJDgz,(의)손재림의료재단 부산손한의원,한의원,부산,부산남구,"부산광역시 남구 신선로 428, (용당동, 동명대학교 산학협력관 지하1층)",051-629-3947,129.1016625,35.1220654
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjNTEjJDEjJDIjJDgz,(의)수의료재단 서청솔요양병원,요양병원,경남,김해시,"경상남도 김해시 금관대로1084번길 15, (흥동)",055-310-5500,128.8507902,35.2240003
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ4OSQzNjEyMjIjNjEjJDEjJDgjJDgz,(의)수지의료재단 용인수지병원,병원,경기,용인수지구,"경기도 용인시 수지구 풍덕천로22번길 15, 지하1,지상2~6층 (풍덕천동)",031-262-0050,127.0848582,37.3168605
JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,(의)아나의료재단 강릉아나병원,정신병원,강원,강릉시,"강원특별자치도 강릉시 용지로 129-0,  (옥천동)",033-610-1100,128.9029668,37.7604484
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNTEjJDEjJDIjJDgz,(의)열린의료재단 강남열린의원,의원,서울,강남구,"서울특별시 강남구 언주로 123, 3층 (도곡동, 개포한신아파트)",02-3454-0601,127.0488528,37.4869601
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQyIyQzIyQwMCQyNjE4MzIjNDEjJDEjJDQjJDgz,(의)열린의료재단 구로열린의원,의원,서울,구로구,"서울특별시 구로구 구로중앙로 68, 208, 209, 210호 (구로동, 신안타워)",02-861-4658,126.8887946,37.4958015
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ5MiQyNjEyMjIjNzEjJDEjJDgjJDgz,(의)열린의료재단 미아열린의원,의원,서울,강북구,"서울특별시 강북구 도봉로 213, 하당빌딩 3,4층 (미아동)",02-945-2305,127.0252592,37.6275922
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDQjJDgz,(의)열린의료재단 분당열린의원,의원,경기,성남분당구,"경기도 성남시 분당구 분당로53번길 22, 4층 (서현동, 블루홀빌딩)",031-708-9393,127.1228552,37.3842675
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,(의)열린의료재단 예인의원,의원,서울,강서구,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",02-3661-7582,126.8429031,37.5672569
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ4OSQzNjE4MzIjNTEjJDEjJDIjJDgz,(의)열린의료재단광주열린의원,의원,경기,광주시,"경기도 광주시 광주대로 31, 7층 705~709호 (경안동)",031-767-7580,127.2602217,37.4093602
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz,(의)영님의료재단 개금중앙요양병원,요양병원,부산,부산진구,"부산광역시 부산진구 개금온정로 5, 지하1,지상3층 (개금동, 성원상떼뷰)",051-582-7001,129.0247934,35.1537626
